user_username,manga_main_title,read_status,rating
rebeccafox,Is It Wrong to Try to Pick Up Girls in a Dungeon?,Plan to Read,NULL
rebeccafox,Aharen-san wa Hakarenai,Dropped,4.0
rebeccafox,Ascendance of a Bookworm,Completed,1.0
rebeccafox,Noblesse,On Hold,1.0
rebeccafox,Children of the Sea,Dropped,4.0
rebeccafox,Fairy Tail: Final Series,On Hold,9.0
michellejohnson,Gleipnir,Reading,3.0
lisa62,Trigun,Completed,7.0
lisa62,Carole & Tuesday,On Hold,8.0
lisa62,Log Horizon,Dropped,8.0
lisa62,Gamers!,Reading,2.0
lisa62,Kakushigoto,Plan to Read,3.0
lisa62,The Ancient Magus' Bride,Dropped,NULL
lisa62,Rent-a-Girlfriend,Reading,8.0
lisa62,Plastic Memories,On Hold,1.0
richardshields,Quintessential Quintuplets,Completed,NULL
richardshields,The Ancient Magus' Bride,Plan to Read,6.0
richardshields,The Misfit of Demon King Academy,Completed,9.0
richardshields,A Certain Scientific Railgun,Plan to Read,1.0
richardshields,Cautious Hero,On Hold,1.0
rpatterson,Sword Art Online: Alicization,Reading,8.0
rpatterson,Tamako Market,Completed,7.0
lambertdavid,Rascal Does Not Dream of Bunny Girl Senpai,Plan to Read,9.0
lambertdavid,Children of the Sea,Dropped,4.0
rlyons,Tamako Market,Dropped,8.0
rlyons,Angel Beats!,On Hold,1.0
rlyons,Komi Can't Communicate,Reading,4.0
rlyons,Grand Blue,Completed,NULL
vbates,Classroom of the Elite,Reading,9.0
vbates,Ascendance of a Bookworm,Dropped,7.0
dmorgan,Kaguya-sama: Love is War,Completed,9.0
dmorgan,Texhnolyze,On Hold,NULL
dmorgan,Uzaki-chan Wants to Hang Out!,Completed,NULL
dmorgan,Sono Bisque Doll wa Koi wo Suru,Reading,5.0
dmorgan,Classroom of the Elite,Dropped,3.0
dmorgan,Zombie Land Saga,Dropped,9.0
dmorgan,Cells at Work: Code Black,On Hold,NULL
willisamanda,Jobless Reincarnation,Dropped,2.0
mcculloughmark,Akame ga Kill!,Dropped,10.0
mcculloughmark,"Love, Chunibyo & Other Delusions",Reading,5.0
mcculloughmark,Gamers!,Completed,7.0
mcculloughmark,Keep Your Hands Off Eizouken!,Dropped,4.0
mcculloughmark,My Next Life as a Villainess,Plan to Read,2.0
williamsholly,Haganai,Plan to Read,10.0
williamsholly,Soul Eater,Reading,NULL
williamsholly,Horou Musuko,Completed,7.0
jwatson,Log Horizon,Plan to Read,7.0
carolyn18,Noblesse,On Hold,NULL
carolyn18,Dorohedoro,Plan to Read,10.0
carolyn18,The World God Only Knows,Completed,8.0
carolyn18,Baccano!,On Hold,9.0
carolyn18,Trigun,Completed,5.0
hamiltonbrandi,Kaguya-sama: Love is War,Dropped,1.0
hamiltonbrandi,Arifureta,On Hold,8.0
hamiltonbrandi,Akudama Drive,On Hold,10.0
hamiltonbrandi,Samurai Champloo,Reading,1.0
hamiltonbrandi,Blue Period,On Hold,4.0
thomas64,Plastic Memories,Dropped,3.0
thomas64,Eden of the East,On Hold,NULL
thomas64,How a Realist Hero Rebuilt the Kingdom,Reading,10.0
thomas64,Trigun,Reading,6.0
thomas64,Children of the Sea,Completed,2.0
thomas64,My Next Life as a Villainess,Plan to Read,2.0
rwilkins,Ergo Proxy,Completed,3.0
rwilkins,Banana Fish,On Hold,7.0
rwilkins,The Ancient Magus' Bride,Reading,9.0
rwilkins,Black Lagoon,Dropped,4.0
melissa65,Banana Fish,Completed,10.0
duartedebbie,Dorohedoro,Completed,NULL
duartedebbie,Cautious Hero,Completed,NULL
duartedebbie,Classroom of the Elite,Reading,1.0
duartedebbie,Kaguya-sama: Love is War,Dropped,9.0
joyceharris,Ergo Proxy,On Hold,NULL
joyceharris,Banana Fish,Reading,3.0
suttonrobert,Texhnolyze,Reading,4.0
andrew58,Arifureta,Plan to Read,4.0
andrew58,Eden of the East,Dropped,9.0
kendra49,The World God Only Knows,Completed,3.0
vvelazquez,Gamers!,Reading,6.0
vvelazquez,Jobless Reincarnation,On Hold,NULL
vvelazquez,Devilman Crybaby,Plan to Read,NULL
vvelazquez,Samurai Champloo,On Hold,5.0
vvelazquez,Texhnolyze,Completed,NULL
vvelazquez,Arifureta,On Hold,7.0
luis58,Akiba Maid War,Reading,6.0
luis58,Yamada-kun and the Seven Witches,On Hold,6.0
luis58,Fairy Tail: Final Series,Reading,7.0
luis58,Angels of Death,Reading,7.0
luis58,Ergo Proxy,Plan to Read,NULL
aguirrethomas,Ascendance of a Bookworm,On Hold,NULL
aguirrethomas,Great Pretender,Plan to Read,6.0
aguirrethomas,Plastic Memories,Completed,4.0
aguirrethomas,Samurai Champloo,Plan to Read,NULL
melissa31,Log Horizon,Reading,10.0
nicole97,Sword Art Online: Alicization,On Hold,NULL
nicole97,Is It Wrong to Try to Pick Up Girls in a Dungeon?,Reading,8.0
nicole97,Angel Beats!,On Hold,4.0
nicole97,Rascal Does Not Dream of Bunny Girl Senpai,Plan to Read,1.0
nicole97,Witch Hunter Robin,On Hold,NULL
nicole97,Fairy Tail: Final Series,Dropped,NULL
nicole97,Kakushigoto,Reading,10.0
margaretgonzalez,The Misfit of Demon King Academy,Reading,8.0
margaretgonzalez,DanMachi,Reading,2.0
margaretgonzalez,The Ancient Magus' Bride,Dropped,2.0
margaretgonzalez,Aharen-san wa Hakarenai,Completed,1.0
margaretgonzalez,Children of the Sea,On Hold,7.0
jenkinsmelissa,Jobless Reincarnation,Plan to Read,2.0
jenkinsmelissa,Yamada-kun and the Seven Witches,Plan to Read,9.0
jenkinsmelissa,Akiba Maid War,Dropped,5.0
jenkinsmelissa,86 (Eighty-Six),Reading,4.0
jenkinsmelissa,Cautious Hero,Reading,3.0
jenkinsmelissa,Sword Art Online: Alicization,Reading,6.0
jenkinsmelissa,How Heavy Are the Dumbbells You Lift?,Reading,NULL
jenkinsmelissa,Somali and the Forest Spirit,Completed,3.0
romerodonna,Jobless Reincarnation,Completed,6.0
romerodonna,Dorohedoro,Reading,1.0
davidpineda,Domestic Girlfriend,Reading,1.0
davidpineda,Sword Art Online: Alicization,Reading,3.0
davidpineda,Summer Wars,Reading,NULL
davidpineda,Akudama Drive,On Hold,4.0
davidpineda,Komi Can't Communicate,Plan to Read,7.0
davidpineda,Arte,Reading,4.0
davidpineda,Kaguya-sama: Love is War,Reading,NULL
davidpineda,Gleipnir,On Hold,NULL
davidpineda,The Ancient Magus' Bride,Reading,6.0
davidpineda,Toilet-Bound Hanako-kun,On Hold,2.0
davisashley,Angel Beats!,Reading,6.0
davisashley,Black Lagoon,Dropped,6.0
davisashley,Ascendance of a Bookworm,Dropped,7.0
davisashley,Aharen-san wa Hakarenai,Completed,10.0
davisashley,Is It Wrong to Try to Pick Up Girls in a Dungeon?,Completed,4.0
davisashley,Summer Wars,On Hold,6.0
davisashley,Gleipnir,Completed,5.0
davisashley,Angels of Death,Plan to Read,NULL
zaguilar,Tower of God,On Hold,NULL
zaguilar,Rent-a-Girlfriend,Completed,10.0
zaguilar,In/Spectre,On Hold,6.0
ujohnson,Darwin's Game,Reading,5.0
gregoryvalenzuela,Aharen-san wa Hakarenai,Plan to Read,6.0
gregoryvalenzuela,Komi Can't Communicate,Dropped,6.0
gregoryvalenzuela,Akiba Maid War,Dropped,1.0
gregoryvalenzuela,Quintessential Quintuplets,Completed,9.0
gregoryvalenzuela,Blue Period,Reading,4.0
gregoryvalenzuela,Somali and the Forest Spirit,On Hold,4.0
gregoryvalenzuela,The Ancient Magus' Bride,Dropped,2.0
john52,Uzaki-chan Wants to Hang Out!,Plan to Read,2.0
john52,Sono Bisque Doll wa Koi wo Suru,On Hold,4.0
john52,Banana Fish,Dropped,3.0
john52,86 (Eighty-Six),Completed,NULL
peter86,Teasing Master Takagi-san,On Hold,NULL
peter86,Arte,Plan to Read,10.0
peter86,Tamako Market,Completed,7.0
peter86,The Ancient Magus' Bride,Dropped,7.0
wilsonantonio,The God of High School,On Hold,4.0
wilsonantonio,Akudama Drive,Completed,4.0
wilsonantonio,Aharen-san wa Hakarenai,Plan to Read,NULL
wilsonantonio,Akame ga Kill!,On Hold,3.0
wilsonantonio,ReLIFE,On Hold,NULL
kblake,Arte,Dropped,NULL
gabriellawrence,Ascendance of a Bookworm,Completed,3.0
gabriellawrence,Grand Blue,Reading,5.0
mejiajennifer,ReLIFE,On Hold,3.0
mejiajennifer,Carole & Tuesday,On Hold,NULL
mejiajennifer,Akiba Maid War,On Hold,8.0
jenniferjohnson,Rascal Does Not Dream of Bunny Girl Senpai,Reading,2.0
jenniferjohnson,Banana Fish,On Hold,9.0
jenniferjohnson,Carole & Tuesday,On Hold,NULL
jenniferjohnson,Grimgar of Fantasy and Ash,Completed,NULL
zachary81,Toilet-Bound Hanako-kun,Dropped,7.0
zachary81,Log Horizon,Completed,NULL
zachary81,86 (Eighty-Six),Dropped,8.0
zachary81,Sword Art Online: Alicization,Dropped,5.0
zachary81,Classroom of the Elite,On Hold,2.0
zachary81,Dorohedoro,Dropped,4.0
zachary81,Fairy Tail: Final Series,Reading,5.0
zachary81,Cells at Work: Code Black,Dropped,NULL
randydavis,Log Horizon,Dropped,8.0
randydavis,My Next Life as a Villainess,Dropped,8.0
randydavis,Black Lagoon,Reading,9.0
randydavis,In/Spectre,Plan to Read,4.0
randydavis,Uzaki-chan Wants to Hang Out!,Dropped,3.0
helliott,Soul Eater,Plan to Read,6.0
tammy16,Rascal Does Not Dream of Bunny Girl Senpai,Dropped,7.0
rliu,The World God Only Knows,On Hold,6.0
rliu,Zombie Land Saga,Completed,9.0
rliu,Carole & Tuesday,Dropped,2.0
rliu,Parasyte: The Maxim,Reading,1.0
rliu,Domestic Girlfriend,Completed,3.0
rliu,Eden of the East,Plan to Read,5.0
rliu,Noblesse,Reading,6.0
rliu,How a Realist Hero Rebuilt the Kingdom,Reading,1.0
garciamartha,Log Horizon,Completed,3.0
garciamartha,Tower of God,On Hold,4.0
garciamartha,Domestic Girlfriend,Dropped,4.0
garciamartha,Horou Musuko,Dropped,10.0
garciamartha,Keep Your Hands Off Eizouken!,Reading,1.0
harriswendy,The World God Only Knows,Dropped,6.0
harriswendy,In/Spectre,On Hold,10.0
harriswendy,Is It Wrong to Try to Pick Up Girls in a Dungeon?,Reading,8.0
harriswendy,Combatants Will Be Dispatched!,Dropped,1.0
shaun89,My Next Life as a Villainess,Dropped,1.0
shaun89,Carole & Tuesday,Reading,NULL
shaun89,Tower of God,Reading,7.0
shaun89,Baccano!,On Hold,NULL
lori07,Akame ga Kill!,Completed,10.0
lori07,Gleipnir,Reading,1.0
lori07,Akudama Drive,Reading,10.0
lori07,Baccano!,On Hold,2.0
lori07,How a Realist Hero Rebuilt the Kingdom,Reading,6.0
lori07,A Certain Scientific Railgun,Dropped,7.0
lori07,Akiba Maid War,Dropped,2.0
ftaylor,Classroom of the Elite,Completed,8.0
ftaylor,Angels of Death,Completed,5.0
ftaylor,Rascal Does Not Dream of Bunny Girl Senpai,Completed,3.0
ftaylor,Dorohedoro,Completed,6.0
chad29,Akame ga Kill!,Dropped,6.0
chad29,The World God Only Knows,Completed,NULL
chad29,Plastic Memories,Reading,8.0
chad29,"Love, Chunibyo & Other Delusions",On Hold,NULL
chad29,Carole & Tuesday,Reading,9.0
chad29,Samurai Champloo,Reading,4.0
chad29,Angels of Death,Plan to Read,10.0
royshelley,DanMachi,Dropped,3.0
royshelley,Texhnolyze,On Hold,NULL
royshelley,In/Spectre,Completed,NULL
royshelley,Akame ga Kill!,On Hold,4.0
royshelley,Teasing Master Takagi-san,Reading,3.0
royshelley,Aharen-san wa Hakarenai,Dropped,6.0
bonnieperez,Jobless Reincarnation,Reading,9.0
bonnieperez,The God of High School,Plan to Read,2.0
bonnieperez,Tamako Market,Dropped,1.0
bonnieperez,Akiba Maid War,Completed,3.0
bonnieperez,How Heavy Are the Dumbbells You Lift?,On Hold,5.0
bonnieperez,How a Realist Hero Rebuilt the Kingdom,Plan to Read,10.0
xguzman,Toilet-Bound Hanako-kun,On Hold,4.0
xguzman,The Misfit of Demon King Academy,On Hold,3.0
xguzman,Cautious Hero,Reading,9.0
xguzman,Log Horizon,Dropped,NULL
xguzman,Cells at Work: Code Black,Dropped,1.0
xguzman,Akiba Maid War,On Hold,9.0
xguzman,Ergo Proxy,Plan to Read,NULL
xguzman,Komi Can't Communicate,Plan to Read,5.0
xguzman,Grimgar of Fantasy and Ash,Plan to Read,2.0
xguzman,Texhnolyze,Dropped,NULL
xmolina,Banana Fish,Plan to Read,9.0
xmolina,The Boy and the Beast,Dropped,NULL
msmith,Akudama Drive,Completed,NULL
elizabeth99,Summer Wars,Dropped,6.0
elizabeth99,Trigun,Dropped,4.0
wardstephen,Grimgar of Fantasy and Ash,Dropped,1.0
wardstephen,Gleipnir,Plan to Read,7.0
wardstephen,The God of High School,Plan to Read,7.0
wardstephen,Quintessential Quintuplets,Completed,5.0
wardstephen,Tamako Market,Dropped,9.0
wardstephen,Noblesse,Dropped,9.0
wardstephen,Akudama Drive,Completed,6.0
billysosa,Uzaki-chan Wants to Hang Out!,Completed,8.0
jmatthews,Blue Period,Dropped,NULL
jmatthews,Cautious Hero,Plan to Read,2.0
jmatthews,Arifureta,Reading,4.0
fbutler,A Certain Scientific Railgun,Completed,5.0
fbutler,Domestic Girlfriend,Reading,NULL
fbutler,Ergo Proxy,Completed,6.0
hernandezmary,Gamers!,On Hold,NULL
hernandezmary,Great Pretender,Dropped,5.0
hernandezmary,The Ancient Magus' Bride,Dropped,6.0
